Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Team Id,Team Name,Custom field (Vulnerability),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Driver Registration,QUIC-155,10561,Task,To Do,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,11/Aug/25 11:22 AM,11/Aug/25 11:24 AM,11/Aug/25 3:27 PM,,,0,"*User Story*

_As a driver, I want to sign up and log in to the App quickly, so I can start receiving delivery requests_",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000zz:,,,,,,,,,,,,To Do,11/Aug/25 11:22 AM
Test mobile calling feature,QUIC-154,10553,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Olawunmi Sanusi,70121:180c0b9b-81d1-47a5-b4e3-a93e04a2be29,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 12:14 PM,11/Aug/25 11:05 AM,03/Jul/25 9:50 PM,,14/Jul/25 12:00 AM,0,"As a developer, I want to test the mobile calling feature to ensure it meets the acceptance criteria and functions correctly.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000zn:,QUIC Sprint 1,,1.0,,,,,,10182,QUIC-18,Mobile calling feature,In Progress,11/Aug/25 11:05 AM
Integrate call feature with user interface,QUIC-153,10551,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 12:13 PM,11/Aug/25 11:05 AM,,,13/Jul/25 12:00 AM,0,"As a user, I want to have a seamless interface to initiate calls to the driver, so that I can easily verify their location.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000zr:,QUIC Sprint 1,,1.0,,,,,,10182,QUIC-18,Mobile calling feature,In Progress,11/Aug/25 11:05 AM
Implement call initiation feature,QUIC-152,10549,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 12:10 PM,11/Aug/25 11:05 AM,,,13/Jul/25 12:00 AM,0,"As a user, I would like to initiate a call to the driver to confirm their location.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000zj:,QUIC Sprint 1,,1.0,,,,,,10182,QUIC-18,Mobile calling feature,In Progress,11/Aug/25 11:05 AM
User Verification Process for Rider Details,QUIC-151,10547,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 12:02 PM,11/Aug/25 11:05 AM,,,13/Jul/25 12:00 AM,0,Create a process that allows users to verify rider details by sharing a unique 4-digit code with the rider. This process should encompass all necessary user interactions and confirmations within the app to ensure a seamless experience.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000yt:,QUIC Sprint 1,,,,,,,,10180,QUIC-17,Rider details ,In Progress,11/Aug/25 11:05 AM
Test Rider Details Feature,QUIC-150,10545,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Olawunmi Sanusi,70121:180c0b9b-81d1-47a5-b4e3-a93e04a2be29,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 12:00 PM,11/Aug/25 11:05 AM,,,13/Jul/25 12:00 AM,0,Conduct thorough testing of the rider details feature to ensure it meets all acceptance criteria and functions correctly across different devices and scenarios.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000yr:,QUIC Sprint 1,,1.0,,,,,,10180,QUIC-17,Rider details ,In Progress,11/Aug/25 11:05 AM
Integrate Rider Details with User Interface,QUIC-149,10543,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:59 AM,11/Aug/25 11:05 AM,,,12/Jul/25 12:00 AM,0,"Integrate the rider details API with the user interface, ensuring that the information is displayed correctly and updates in real-time as needed.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000yv:,QUIC Sprint 1,,1.0,,,,,,10180,QUIC-17,Rider details ,In Progress,11/Aug/25 11:05 AM
Implement Rider Details API,QUIC-148,10541,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Divine Idehen,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:58 AM,11/Aug/25 11:05 AM,,,11/Jul/25 12:00 AM,0,Develop the backend API to fetch and provide rider details to the frontend. Ensure the API is secure and can handle multiple requests efficiently.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000yn:,QUIC Sprint 1,,1.0,,,,,,10180,QUIC-17,Rider details ,In Progress,11/Aug/25 11:05 AM
Document Pricing Endpoint API,QUIC-147,10539,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Divine Idehen,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:53 AM,11/Aug/25 11:05 AM,,,11/Jul/25 12:00 AM,0,"Create comprehensive documentation for the pricing endpoint API, detailing its usage, parameters, and response formats for future reference and development.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000xt:,QUIC Sprint 1,,1.0,,,,,,10178,QUIC-16,Pricing endpoint,In Progress,11/Aug/25 11:05 AM
Test Pricing Endpoint Functionality,QUIC-146,10537,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Olawunmi Sanusi,70121:180c0b9b-81d1-47a5-b4e3-a93e04a2be29,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:52 AM,11/Aug/25 11:05 AM,,,11/Jul/25 12:00 AM,0,Conduct thorough testing of the pricing endpoint to ensure it accurately returns the delivery price and handles edge cases effectively.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000xv:,QUIC Sprint 1,,1.0,,,,,,10178,QUIC-16,Pricing endpoint,In Progress,11/Aug/25 11:05 AM
